mpg,weight,displacement,horsepower,cylinders,acceleration,model_year,origin,name,,,,,,,,,
34,2395,112,88,4,18,82,usa,chevrolet cavalier 2-door,,,,,,,,,
31,2575,112,85,4,16.2,82,usa,pontiac j2000 se hatchback,,,,,,,,,
29,2525,135,84,4,16,82,usa,dodge aries se,,,,,,,,,
27,2735,151,90,4,18,82,usa,pontiac phoenix,,,,,,,,,
24,2865,140,92,4,16.4,82,usa,ford fairmont futura,,,,,,,,,
23,3035,151,,4,20.5,82,usa,amc concord dl,,,,,,,,,
36,1980,105,74,4,15.3,82,europe,volkswagen rabbit l,,,,,,,,,
37,2025,91,68,4,18.2,82,japan,mazda glc custom l,,,,,,,,,
31,1970,91,68,4,17.6,82,japan,mazda glc custom,,,,,,,,,
38,2125,105,63,4,14.7,82,usa,plymouth horizon miser,,,,,,,,,
36,2125,98,70,4,17.3,82,usa,mercury lynx l,,,,,,,,,
36,2160,120,88,4,14.5,82,japan,nissan stanza xe,,,,,,,,,
36,2205,107,75,4,14.5,82,japan,honda accord,,,,,,,,,
34,2245,108,70,4,16.9,82,japan,toyota corolla,,,,,,,,,
38,1965,91,67,4,15,82,japan,honda civic,,,,,,,,,
32,1965,91,67,4,15.7,82,japan,honda civic (auto),,,,,,,,,
38,1995,91,67,4,16.2,82,japan,datsun 310 gx,,,,,,,,,
25,2945,181,110,6,16.4,82,usa,buick century limited,,,,,,,,,
38,3015,262,85,6,17,82,usa,oldsmobile cutlass ciera (diesel),,,,,,,,,
26,2585,156,92,4,14.5,82,usa,chrysler lebaron medallion,,,,,,,,,
22,2835,232,112,6,14.7,82,usa,ford granada l,,,,,,,,,
32,2665,144,96,4,13.9,82,japan,toyota celica gt,,,,,,,,,
36,2370,135,84,4,13,82,usa,dodge charger 2.2,,,,,,,,,
27,2950,151,90,4,17.3,82,usa,chevrolet camaro,,,,,,,,,
27,2790,140,86,4,15.6,82,usa,ford mustang gl,,,,,,,,,
44,2130,97,52,4,24.6,82,europe,vw pickup,,,,,,,,,
32,2295,135,84,4,11.6,82,usa,dodge rampage,,,,,,,,,
28,2625,120,79,4,18.6,82,usa,ford ranger,,,,,,,,,
31,2720,119,82,4,19.4,82,usa,chevy s-10,,,,,,,,,
